Generation, Best Fitness, Average Fitness
1, -42.62679, -350.43341
2, -42.62679, -246.14903
3, -42.62679, -230.29328
4, -22.97030, -195.50473
5, -22.97030, -174.36035
6, -22.97030, -167.40648
7, -22.97030, -164.36035
8, -22.10808, -148.88784
9, -13.40674, -151.99913
10, -13.40674, -139.32706
11, -13.40674, -131.62838
12, -13.40674, -207.87715
13, -13.40674, -238.67783
14, -13.40674, -101.99611
15, -13.40674, -99.02798
16, -13.40674, -100.28663
17, -13.40674, -92.77170
18, -13.40674, -71.83170
19, -13.31845, -59.80342
20, -11.99681, -67.81176
21, -11.19102, -64.62092
22, -11.00381, -57.88782
23, -10.30724, -45.66269
24, -9.81776, -45.55518
25, -9.81352, -43.20029
26, -8.59645, -39.06035
27, -8.59645, -35.87185
28, -8.32609, -27.23280
29, -8.04079, -34.49916
