x1, x2, Expected Value, Function Value

0.0, 1.0, -6.0, -80.23660967193557
1.0, 2.0, -6.0, -77.23660967193557
2.0, 3.0, 2.0, -74.23660967193557
3.0, 4.0, 18.0, -71.23660967193557
4.0, 5.0, 42.0, -68.23660967193557
5.0, 6.0, 74.0, -65.23660967193557
6.0, 7.0, 114.0, -62.23660967193557
7.0, 8.0, 162.0, -59.23660967193557
8.0, 9.0, 218.0, -56.23660967193557
9.0, 10.0, 282.0, -53.23660967193557
10.0, 11.0, 354.0, -50.23660967193557
11.0, 12.0, 434.0, -47.23660967193557
12.0, 13.0, 522.0, -44.23660967193557
13.0, 14.0, 618.0, -41.23660967193557
14.0, 15.0, 722.0, -38.23660967193557
15.0, 16.0, 834.0, -35.23660967193557
16.0, 17.0, 954.0, -32.23660967193557
17.0, 18.0, 1082.0, -29.236609671935568
18.0, 19.0, 1218.0, -26.236609671935568
19.0, 20.0, 1362.0, -23.236609671935568
20.0, 21.0, 1514.0, -20.236609671935568
21.0, 22.0, 1674.0, -17.236609671935568
22.0, 23.0, 1842.0, -14.236609671935568
23.0, 24.0, 2018.0, -11.236609671935568
24.0, 25.0, 2202.0, -8.236609671935568
25.0, 26.0, 2394.0, -5.236609671935568
26.0, 27.0, 2594.0, -2.236609671935568
27.0, 28.0, 2802.0, 0.7633903280644319
28.0, 29.0, 3018.0, 3.763390328064432
29.0, 30.0, 3242.0, 6.763390328064432
30.0, 31.0, 3474.0, 9.763390328064432
31.0, 32.0, 3714.0, 12.763390328064432
32.0, 33.0, 3962.0, 15.763390328064432
33.0, 34.0, 4218.0, 18.763390328064432
34.0, 35.0, 4482.0, 21.763390328064432
35.0, 36.0, 4754.0, 24.763390328064432
36.0, 37.0, 5034.0, 27.763390328064432
37.0, 38.0, 5322.0, 30.763390328064432
38.0, 39.0, 5618.0, 33.76339032806443
39.0, 40.0, 5922.0, 36.76339032806443
40.0, 41.0, 6234.0, 39.76339032806443
41.0, 42.0, 6554.0, 42.76339032806443
42.0, 43.0, 6882.0, 45.76339032806443
43.0, 44.0, 7218.0, 48.76339032806443
44.0, 45.0, 7562.0, 51.76339032806443
45.0, 46.0, 7914.0, 54.76339032806443
46.0, 47.0, 8274.0, 57.76339032806443
47.0, 48.0, 8642.0, 60.76339032806443
48.0, 49.0, 9018.0, 63.76339032806443
49.0, 50.0, 9402.0, 66.76339032806443
50.0, 51.0, 9794.0, 69.76339032806443
51.0, 52.0, 10194.0, 72.76339032806443
52.0, 53.0, 10602.0, 75.76339032806443
53.0, 54.0, 11018.0, 78.76339032806443
54.0, 55.0, 11442.0, 81.76339032806443
55.0, 56.0, 11874.0, 84.76339032806443
56.0, 57.0, 12314.0, 87.76339032806443
57.0, 58.0, 12762.0, 90.76339032806443
58.0, 59.0, 13218.0, 93.76339032806443
59.0, 60.0, 13682.0, 96.76339032806443
60.0, 61.0, 14154.0, 99.76339032806443
61.0, 62.0, 14634.0, 102.76339032806443
62.0, 63.0, 15122.0, 105.76339032806443
63.0, 64.0, 15618.0, 108.76339032806443
64.0, 65.0, 16122.0, 111.76339032806443
65.0, 66.0, 16634.0, 114.76339032806443
66.0, 67.0, 17154.0, 117.76339032806443
67.0, 68.0, 17682.0, 120.76339032806443
68.0, 69.0, 18218.0, 123.76339032806443
69.0, 70.0, 18762.0, 126.76339032806443
70.0, 71.0, 19314.0, 129.76339032806442
71.0, 72.0, 19874.0, 132.76339032806442
72.0, 73.0, 20442.0, 135.76339032806442
73.0, 74.0, 21018.0, 138.76339032806442
74.0, 75.0, 21602.0, 141.76339032806442
75.0, 76.0, 22194.0, 144.76339032806442
76.0, 77.0, 22794.0, 147.76339032806442
77.0, 78.0, 23402.0, 150.76339032806442
78.0, 79.0, 24018.0, 153.76339032806442
79.0, 80.0, 24642.0, 156.76339032806442
80.0, 81.0, 25274.0, 159.76339032806442
81.0, 82.0, 25914.0, 162.76339032806442
82.0, 83.0, 26562.0, 165.76339032806442
83.0, 84.0, 27218.0, 168.76339032806442
84.0, 85.0, 27882.0, 171.76339032806442
85.0, 86.0, 28554.0, 174.76339032806442
86.0, 87.0, 29234.0, 177.76339032806442
87.0, 88.0, 29922.0, 180.76339032806442
88.0, 89.0, 30618.0, 183.76339032806442
89.0, 90.0, 31322.0, 186.76339032806442
90.0, 91.0, 32034.0, 189.76339032806442
91.0, 92.0, 32754.0, 192.76339032806442
92.0, 93.0, 33482.0, 195.76339032806442
93.0, 94.0, 34218.0, 198.76339032806442
94.0, 95.0, 34962.0, 201.76339032806442
95.0, 96.0, 35714.0, 204.76339032806442
96.0, 97.0, 36474.0, 207.76339032806442
97.0, 98.0, 37242.0, 210.76339032806442
98.0, 99.0, 38018.0, 213.76339032806442
99.0, 100.0, 38802.0, 216.76339032806442
