x1, x2, Expected Value, Function Value

-1000.0, -980.0, 3946861.0, 2.901527525924223E12
-980.0, -960.0, 3789521.0, 2.674452025459194E12
-960.0, -940.0, 3635381.0, 2.4609732788693687E12
-940.0, -920.0, 3484441.0, 2.2605373661547476E12
-920.0, -900.0, 3336701.0, 2.0726018873153308E12
-900.0, -880.0, 3192161.0, 1.8966359623511184E12
-880.0, -860.0, 3050821.0, 1.73212023126211E12
-860.0, -840.0, 2912681.0, 1.578546854048306E12
-840.0, -820.0, 2777741.0, 1.4354195107097053E12
-820.0, -800.0, 2646001.0, 1.3022534012463096E12
-800.0, -780.0, 2517461.0, 1.1785752456581177E12
-780.0, -760.0, 2392121.0, 1.0639232839451295E12
-760.0, -740.0, 2269981.0, 9.578472761073455E11
-740.0, -720.0, 2151041.0, 8.599085021447654E11
-720.0, -700.0, 2035301.0, 7.696797620573893E11
-700.0, -680.0, 1922761.0, 6.867453758452169E11
-680.0, -660.0, 1813421.0, 6.107011835082483E11
-660.0, -640.0, 1707281.0, 5.411545450464833E11
-640.0, -620.0, 1604341.0, 4.7772434045992194E11
-620.0, -600.0, 1504601.0, 4.200409697485641E11
-600.0, -580.0, 1408061.0, 3.677463529124096E11
-580.0, -560.0, 1314721.0, 3.204939299514584E11
-560.0, -540.0, 1224581.0, 2.779486608657104E11
-540.0, -520.0, 1137641.0, 2.3978702565516534E11
-520.0, -500.0, 1053901.0, 2.0569702431982312E11
-500.0, -480.0, 973361.0, 1.753781768596835E11
-480.0, -460.0, 896021.0, 1.4854152327474625E11
-460.0, -440.0, 821881.0, 1.2490962356501108E11
-440.0, -420.0, 750941.0, 1.0421655773047765E11
-420.0, -400.0, 683201.0, 8.620792577114555E10
-400.0, -380.0, 618661.0, 7.064084768701436E10
-380.0, -360.0, 557321.0, 5.728396347808343E10
-360.0, -340.0, 499181.0, 4.59174331443521E10
-340.0, -320.0, 444241.0, 3.633293668581945E10
-320.0, -300.0, 392501.0, 2.833367410248442E10
-300.0, -280.0, 343961.0, 2.173436539434562E10
-280.0, -260.0, 298621.0, 1.6361250561401253E10
-260.0, -240.0, 256481.0, 1.2052089603648996E10
-240.0, -220.0, 217541.0, 8.656162521085747E9
-220.0, -200.0, 181801.0, 6.03426931370726E9
-200.0, -180.0, 149261.0, 4.0587299815076065E9
-180.0, -160.0, 119921.0, 2.613384524478217E9
-160.0, -140.0, 93781.0, 1.5935929426062365E9
-140.0, -120.0, 70841.0, 9.062352358714668E8
-120.0, -100.0, 51101.0, 4.697114042402421E8
-100.0, -80.0, 34561.0, 2.139414476519659E8
-80.0, -60.0, 21221.0, 8.036536598544349E7
-60.0, -40.0, 11081.0, 2.1943158957888354E7
-40.0, -20.0, 4141.0, 3154825.7209404516
-20.0, 0.0, 401.0, 362.0327997162129
0.0, 20.0, -139.0, 239.3440056757422
20.0, 40.0, 2521.0, 2193111.1717408774
40.0, 60.0, 8381.0, 1.7140273097221926E7
60.0, 80.0, 17441.0, 6.6921315882976994E7
80.0, 100.0, 29701.0, 1.8513623528720602E8
100.0, 120.0, 45161.0, 4.169050304615489E8
120.0, 140.0, 63821.0, 8.188677011232191E8
140.0, 160.0, 85681.0, 1.4591842471510224E9
160.0, 180.0, 110741.0, 2.4175346684843616E9
180.0, 200.0, 139001.0, 3.785118965089571E9
200.0, 220.0, 170461.0, 5.664657136946453E9
220.0, 240.0, 205121.0, 8.170389184042152E9
240.0, 260.0, 242981.0, 1.14280751063681E10
260.0, 280.0, 284041.0, 1.5574994903918365E10
280.0, 300.0, 328301.0, 2.075994857668871E10
300.0, 320.0, 375761.0, 2.7143256124676018E10
320.0, 340.0, 426421.0, 3.489675754787797E10
340.0, 360.0, 480281.0, 4.4203812846292786E10
360.0, 380.0, 537341.0, 5.525930201991906E10
380.0, 400.0, 597601.0, 6.826962506875573E10
400.0, 420.0, 661061.0, 8.345270199280188E10
420.0, 440.0, 727721.0, 1.0103797279205685E11
440.0, 460.0, 797581.0, 1.2126639746652002E11
460.0, 480.0, 870641.0, 1.4439045601619092E11
480.0, 500.0, 946901.0, 1.7067414844106915E11
500.0, 520.0, 1026361.0, 2.003929947411544E11
520.0, 540.0, 1109021.0, 2.3383403491644635E11
540.0, 560.0, 1194881.0, 2.7129582896694476E11
560.0, 580.0, 1283941.0, 3.130884568926494E11
580.0, 600.0, 1376201.0, 3.5953351869356024E11
600.0, 620.0, 1471661.0, 4.1096413436967694E11
620.0, 640.0, 1570321.0, 4.6772494392099945E11
640.0, 660.0, 1672181.0, 5.3017210734752765E11
660.0, 680.0, 1777241.0, 5.986733046492615E11
680.0, 700.0, 1885501.0, 6.736077358262007E11
700.0, 720.0, 1996961.0, 7.553661208783453E11
720.0, 740.0, 2111621.0, 8.443506998056953E11
740.0, 760.0, 2229481.0, 9.409752326082506E11
760.0, 780.0, 2350541.0, 1.0456649992860111E12
780.0, 800.0, 2474801.0, 1.1588567998389768E12
800.0, 820.0, 2602261.0, 1.2809989542671475E12
820.0, 840.0, 2732921.0, 1.4125513025705232E12
840.0, 860.0, 2866781.0, 1.5539852047491045E12
860.0, 880.0, 3003841.0, 1.7057835408028901E12
880.0, 900.0, 3144101.0, 1.8684407107318809E12
900.0, 920.0, 3287561.0, 2.0424626345360767E12
920.0, 940.0, 3434221.0, 2.228366752215477E12
940.0, 960.0, 3584081.0, 2.426682023770083E12
960.0, 980.0, 3737141.0, 2.6379489291998936E12
980.0, 1000.0, 3893401.0, 2.8627194685049087E12
