Generation, Best Fitness, Average Fitness
1, -127000.12222, -130509.66285
2, -126644.67490, -130416.19297
3, -123883.81732, -130298.19903
4, -104969.54527, -130064.28611
5, -80667.55280, -129082.69576
6, -55974.05917, -127082.87949
7, -55974.05917, -132639.42839
8, -49303.94926, -158437.83066
9, -49303.94926, -238319.43666
10, -31842.88641, -27964946.54402
11, -26396.20155, -700830.60024
12, -25815.07249, -469294.03069
13, -8502.17000, -671122.14566
14, -8502.17000, -1908261.04153
15, -8502.17000, -8456622.53861
16, -8502.17000, -2862062.43654
17, -8502.17000, -3702210.49970
18, -3101.74708, -5905092.33222
19, -3101.74708, -10494091.83586
20, -3101.74708, -2596826.73418
21, -3101.74708, -5260570.64665
22, -3101.74708, -23920950.53595
23, -3101.74708, -110712407.90782
24, -3082.87567, -147557625.55823
25, -3082.87567, -32095811.32288
26, -2302.94761, -12756268.52862
27, -2302.94761, -337066295.94582
28, -2302.94761, -6204001.56076
29, -1933.31015, -28426135.65389
30, -1933.31015, -18840273.96319
31, -1933.31015, -10245137.18974
32, -1933.31015, -84962474.92720
33, -1488.26118, -2092652.78568
34, -896.94693, -1395235.25090
35, -896.94693, -1555461.41123
36, -896.94693, -3818891.42630
37, -896.94693, -2960037.18122
38, -896.94693, -1322052.29812
39, -896.94693, -2504875.96042
40, -427.94558, -5574927.80174
41, -412.70940, -1887737.02815
42, -412.70940, -44120367.92727
43, -412.70940, -1311098.35383
44, -412.70940, -2356860.59440
45, -412.70940, -1370717.22063
46, -412.70940, -9651963.07470
47, -407.54913, -1341372.82134
48, -402.35354, -1464614.81522
49, -402.35354, -2123185.31814
50, -402.15673, -1657159.52081
51, -379.46651, -1457943.97760
52, -379.46651, -932154.80712
53, -376.06137, -1547170.17651
54, -371.59155, -1025491.67568
55, -371.59155, -5340164.83247
56, -371.59155, -2182958.91942
57, -371.59155, -4879409.70495
58, -371.02415, -1178547.34477
59, -371.02415, -1365796.88178
60, -371.02415, -1648388.61103
61, -371.02415, -17741756.10557
62, -371.02415, -737912464.52337
63, -352.64706, -37346174.75335
64, -352.64706, -23764625.73997
65, -352.64706, -74157652.19021
66, -352.64706, -1044368199.31184
67, -352.64706, -5447322968.51529
68, -352.64706, -3811748.19684
69, -352.64706, -22172315153.60585
70, -352.64706, -900712482.14030
71, -352.64706, -151569056693.86380
72, -352.64706, -4179017954.95075
73, -352.64706, -165611460087177950.00000
74, -352.64706, -15232929745.65364
75, -347.82283, -10730448693777.68800
76, -347.82283, -60112169349457930.00000
77, -342.66019, -60112163180557880.00000
78, -342.66019, -1159394583.23216
79, -341.94200, -9081857883.03753
