Generation, Best Fitness, Average Fitness
1, -280.92987, -1591.19411
2, -280.91081, -1306.15344
3, -280.91081, -1554.69135
4, -280.91081, -1416.90836
5, -280.91081, -1343.92592
6, -260.73412, -1036.42575
7, -251.65427, -1029.66705
8, -230.43081, -1140.76118
9, -230.43081, -1120.86150
10, -230.43081, -669.84161
11, -230.43081, -593.97039
12, -129.83114, -554.74483
13, -129.83114, -615.22206
14, -96.42026, -582.53826
15, -83.37911, -601.09862
16, -83.37911, -528.04028
17, -83.27427, -537.79923
18, -76.13550, -509.28851
19, -76.13550, -502.29873
20, -76.13550, -530.34018
21, -76.13550, -509.99314
22, -76.13550, -533.06198
23, -76.13550, -528.71615
24, -76.13550, -511.89500
25, -76.13550, -504.82133
26, -76.13550, -599.39457
27, -76.13550, -533.84460
28, -76.13550, -670.93285
29, -48.28654, -706.29940
30, -48.28654, -476.86143
31, -48.28654, -457.75167
32, -48.28654, -482.16850
33, -48.28654, -462.72385
34, -48.28654, -416.74050
35, -48.28654, -597.96740
36, -48.28654, -761.71750
37, -48.28654, -583.07291
38, -44.53484, -882.30300
39, -44.53484, -480.88814
40, -44.53484, -536.89322
41, -44.53484, -420.89039
42, -44.53484, -629.07000
43, -44.53484, -493.66038
44, -43.59401, -515.02137
45, -43.59401, -732.99789
46, -43.59401, -4965.40635
47, -43.59401, -476.66937
48, -38.35590, -400.92714
49, -38.35590, -1292.50091
50, -38.35590, -539.02457
51, -38.35590, -503.66499
52, -38.35590, -226.07099
53, -38.35590, -276.72611
54, -38.35590, -733.94940
55, -19.55809, -271.89937
56, -19.55809, -1010.07980
57, -19.55809, -241.35220
58, -19.35209, -649.56196
59, -19.35209, -413.00410
60, -19.35209, -364.64281
61, -19.35209, -128.70502
62, -19.35209, -208.52145
63, -19.35209, -175.71875
64, -19.35209, -938.56022
65, -19.34914, -3582.18566
66, -18.56471, -104.56608
67, -18.56471, -249.48134
68, -18.56471, -101.20887
69, -17.95182, -121.72838
70, -17.77043, -108.88750
71, -17.77043, -128.36688
72, -17.17359, -77.58641
73, -14.74146, -99.47624
74, -14.09918, -90.68739
75, -14.09918, -79.44487
76, -14.09918, -140.86602
77, -14.09814, -94.42129
78, -14.09814, -82.74583
79, -14.09814, -126.08811
