Generation, Best Fitness, Average Fitness
1, -253775409602.48297, -253775823929.12485
2, -253775409602.48297, -253775817075.32940
3, -253774985341.52360, -253775778925.18976
4, -253774761901.43800, -253775714429.29670
5, -253768276672.67783, -253775585732.54187
6, -253764501319.26123, -253775382981.63034
7, -161612496487.64682, -334531538899.23400
8, -42559123176.24271, -2154785649987.22360
9, -42556187176.08064, -35782367768421.89000
10, -870653289.72741, -178448408206328600.00000
11, -314653615.83774, -727940759134707300000.00000
12, -196643855.63043, -120427926935946530000.00000
13, -109731002.91477, -230866359003469000000.00000
14, -109731002.91477, -4399163132959326000000.00000
15, -96610482.56279, -4399410664820068300000.00000
16, -81855891.91920, -129777355791266380000.00000
17, -81855891.91920, -278048448493691230000000.00000
18, -81855891.91920, -829333338283857800000.00000
19, -20525173.68592, -707063041204092800000.00000
20, -20525173.68592, -2384902421401290400000.00000
21, -5903447.17837, -1191906533815142600000.00000
22, -5903447.17837, -48475550543165006000.00000
23, -5903447.17837, -7987117393623239000000.00000
24, -5837363.00756, -125381498944665860000000000.00000
25, -5837363.00756, -26907069282434340000000.00000
26, -5837363.00756, -284632265969794860000000.00000
27, -5837363.00756, -262536053565052850000.00000
28, -5837363.00756, -859720823708186600000.00000
29, -4289357.20097, -30174750168374380000000000.00000
30, -4289357.20097, -33205974229450154000000000.00000
31, -4289357.20097, -23354190629200190000000000000000000000000000.00000
32, -4288301.67971, -1296848427859495000000000000000.00000
33, -4288301.67971, -148439995515442910000000000000000000000.00000
34, -4288301.67971, -4660300422240363000000.00000
35, -4287532.29727, -4047304188017070600000.00000
36, -4285977.86185, -1008068230960026000000000.00000
37, -4285977.86185, -6362720057594172000000000000000000.00000
38, -4284070.96957, -6362720057593372000000000000000000.00000
39, -4284070.96957, -4703388120398675300000000.00000
40, -4284070.96957, -1839095594466610000000000000000000000.00000
41, -4281387.80896, -6173732174415478000000000.00000
42, -4281387.80896, -625156060226393300000.00000
43, -4281387.80896, -530969328336515600000000.00000
44, -4281387.80896, -9938062111424635000000000000000000000000.00000
45, -4281387.80896, -1789732720656937700000000.00000
46, -4280729.39943, -5941326808839831000000000.00000
47, -4280729.39943, -1478314376123854000000000000000000.00000
48, -4280729.39943, -172156759659858770000000000.00000
49, -4275841.24301, -16063307935175724000000.00000
50, -4275841.24301, -370065807491130000000000.00000
51, -4275841.24301, -4367311753247152700000.00000
52, -4275841.24301, -758488353792152200000000000.00000
53, -4274631.14541, -1806632776455496000000000000000000000.00000
54, -4274631.14541, -46464794144308880000000.00000
55, -4270630.80649, -257096823042191800000000000.00000
56, -4270630.80649, -574339901485413400000000.00000
57, -4270630.80649, -2921534272178315000000000000000000.00000
58, -1874750.48524, -637926704702907140000000000000000.00000
59, -1874750.48524, -2857805029322201400000000000.00000
60, -1874750.48524, -1154759491237770800000000000000000.00000
61, -1874750.48524, -806751654961081700000000.00000
62, -1870790.62621, -462614393539624500000000.00000
63, -1869099.88878, -2989646755251295500000000000000000.00000
64, -1869099.88878, -5080795590810595000000000000000.00000
65, -1833582.73334, -8775858578965355000000000000000000000000000000000.00000
66, -1833582.73334, -899199424205406000000000000000.00000
67, -1833582.73334, -946113282101994000000000000000.00000
68, -1833582.73334, -8602693485120750000000000000000000.00000
69, -1833582.73334, -6800872446427213000000000000000000.00000
70, -1833582.73334, -13827246027113465000000000000.00000
71, -1209219.22243, -77054335253478200000000.00000
72, -1208056.62658, -209941381446638860000000000.00000
73, -1208056.62658, -777526613284998900000000000.00000
74, -544647.35232, -418283664429132550000000000.00000
75, -282448.24875, -212022923726118570000000.00000
76, -282448.24875, -1976827757574301400000.00000
77, -276200.67993, -143062203332830030000000000.00000
78, -275919.69991, -12627041562021898000000000000000.00000
79, -261860.83160, -11263282598223015000000000000000000.00000
