Generation, Best Fitness, Average Fitness
1, -46.68565, -293.94387
2, -46.68565, -216.34591
3, -46.68565, -195.18057
4, -46.68565, -174.39966
5, -46.68565, -165.66502
6, -46.68565, -161.61190
7, -46.04488, -164.55607
8, -26.71147, -162.65194
9, -26.71147, -167.33923
10, -26.71147, -166.82788
11, -26.71147, -163.93452
12, -24.77293, -149.99873
13, -24.77293, -159.78745
14, -24.77293, -156.01549
15, -24.77293, -156.26856
16, -15.97899, -145.94803
17, -15.97899, -155.03361
18, -12.48862, -150.22606
19, -12.48862, -150.77839
20, -12.48862, -161.40613
21, -12.36847, -143.91338
22, -12.36847, -132.36095
23, -12.31409, -131.02092
24, -9.94726, -121.71721
25, -9.94726, -140.63167
26, -9.94726, -155.15464
27, -9.73772, -135.72514
28, -9.73772, -139.63360
29, -7.90102, -141.72061
30, -7.33967, -136.52130
31, -6.36979, -117.06042
32, -6.15230, -138.47940
33, -6.13106, -90.33203
34, -5.84436, -78.35595
35, -5.56073, -67.87991
36, -5.52629, -55.97266
37, -5.31349, -44.71298
38, -5.31349, -41.24376
39, -5.31349, -34.97571
40, -5.31349, -34.09522
41, -5.31349, -22.32827
42, -5.31349, -23.82807
43, -5.31349, -22.82840
44, -5.26386, -21.23471
45, -5.20693, -20.13538
46, -5.18976, -19.09880
47, -5.18976, -13.46157
48, -5.09892, -13.26920
49, -5.09892, -11.93860
50, -5.09837, -13.74858
51, -5.02178, -11.17649
52, -4.98541, -11.23489
53, -4.98533, -12.48032
54, -4.93524, -11.79399
55, -4.93524, -9.60006
56, -4.93524, -10.87494
57, -4.93524, -10.94640
58, -4.84408, -10.25387
59, -4.84408, -12.57365
60, -4.84408, -10.57465
61, -4.84408, -11.82161
62, -4.84408, -11.97149
63, -4.84408, -10.09095
64, -4.84408, -10.82592
65, -4.84121, -9.60633
66, -4.80515, -15.24916
67, -4.80515, -13.44036
68, -4.80515, -8.38395
69, -4.45722, -10.38663
70, -4.20602, -10.08435
71, -4.16573, -7.93850
72, -4.13331, -7.89560
73, -3.18620, -7.84585
74, -2.84633, -8.49209
75, -2.77895, -9.43367
76, -2.77895, -7.46062
77, -2.77857, -8.27254
78, -2.77225, -9.07802
79, -2.77178, -9.15451
