x1, x2, Expected Value, Function Value

-672.24, 137.12, -398.0, -398.0
732.44, 625.42, 1983.28, 1983.28
839.46, -210.7, 418.06000000000006, 418.06000000000006
-491.64, 839.46, 1187.2800000000002, 1187.2800000000002
-10.03, 438.13, 866.23, 866.23
-237.46, 612.04, 986.6199999999999, 986.6199999999999
725.75, 458.19, 1642.13, 1642.13
-157.19, -264.21, -685.6099999999999, -685.6099999999999
277.59, 959.87, 2197.33, 2197.33
217.39, 852.84, 1923.0700000000002, 1923.0700000000002
618.73, -250.84, 117.05000000000001, 117.05000000000001
103.68, 404.68, 913.04, 913.04
892.98, 30.1, 953.1800000000001, 953.1800000000001
-518.39, -839.46, -2197.31, -2197.31
545.15, -317.73, -90.31000000000006, -90.31000000000006
-3.34, -110.37, -224.08, -224.08
157.19, -705.69, -1254.19, -1254.19
357.86, 946.49, 2250.84, 2250.84
-779.26, 498.33, 217.39999999999998, 217.39999999999998
672.24, 163.88, 1000.0, 1000.0
404.68, -23.41, 357.86, 357.86
-23.41, -545.15, -1113.71, -1113.71
478.26, -525.08, -571.9000000000001, -571.9000000000001
431.44, -458.19, -484.94, -484.94
50.17, 244.15, 538.47, 538.47
244.15, -886.29, -1528.4299999999998, -1528.4299999999998
290.97, -204.01, -117.04999999999995, -117.04999999999995
531.77, -832.78, -1133.79, -1133.79
-244.15, 832.78, 1421.4099999999999, 1421.4099999999999
-424.75, 63.55, -297.65, -297.65
1000.0, 993.31, 2986.62, 2986.62
471.57, -625.42, -779.27, -779.27
-505.02, -36.79, -578.6, -578.6
919.73, -16.72, 886.29, 886.29
96.99, 511.71, 1120.4099999999999, 1120.4099999999999
-591.97, 491.64, 391.30999999999995, 391.30999999999995
-451.51, 190.64, -70.23000000000002, -70.23000000000002
-478.26, 257.53, 36.799999999999955, 36.799999999999955
-899.67, 699.0, 498.33000000000004, 498.33000000000004
525.08, -484.95, -444.81999999999994, -444.81999999999994
10.03, -331.1, -652.1700000000001, -652.1700000000001
719.06, 538.46, 1795.98, 1795.98
-130.43, -163.88, -458.19, -458.19
-90.3, 130.43, 170.56, 170.56
438.13, 3.34, 444.81, 444.81
-645.48, -357.86, -1361.2, -1361.2
872.91, -859.53, -846.15, -846.15
-290.97, -812.71, -1916.39, -1916.39
-558.53, 411.37, 264.21000000000004, 264.21000000000004
939.8, 451.51, 1842.82, 1842.82
-725.75, 685.62, 645.49, 645.49
464.88, -926.42, -1387.96, -1387.96
765.89, -324.41, 117.06999999999994, 117.06999999999994
224.08, -638.8, -1053.52, -1053.52
-872.91, 899.67, 926.43, 926.43
-752.51, -518.39, -1789.29, -1789.29
63.55, -411.37, -759.19, -759.19
612.04, 846.15, 2304.34, 2304.34
585.28, -10.03, 565.22, 565.22
-484.95, -799.33, -2083.61, -2083.61
-190.64, -732.44, -1655.52, -1655.52
906.35, -605.35, -304.35, -304.35
284.28, 531.77, 1347.82, 1347.82
705.69, -311.04, 83.61000000000001, 83.61000000000001
-371.24, -819.4, -2010.04, -2010.04
83.61, -1000.0, -1916.39, -1916.39
-906.35, -699.0, -2304.35, -2304.35
-565.22, -725.75, -2016.72, -2016.72
30.1, 237.46, 505.02000000000004, 505.02000000000004
678.93, -692.31, -705.6899999999999, -705.6899999999999
946.49, -852.84, -759.19, -759.19
-712.37, 377.93, 43.49000000000001, 43.49000000000001
-311.04, -571.91, -1454.86, -1454.86
170.57, 913.04, 1996.6499999999999, 1996.6499999999999
36.79, 224.08, 484.95000000000005, 484.95000000000005
-739.13, 331.1, -76.92999999999995, -76.92999999999995
578.6, 444.82, 1468.24, 1468.24
-50.17, 324.41, 598.6500000000001, 598.6500000000001
638.8, 812.71, 2264.2200000000003, 2264.2200000000003
-284.28, -471.57, -1227.42, -1227.42
-163.88, -404.68, -973.24, -973.24
-36.79, -384.62, -806.03, -806.03
-538.46, 357.86, 177.26, 177.26
591.97, 732.44, 2056.8500000000004, 2056.8500000000004
-351.17, -765.89, -1882.95, -1882.95
-585.28, -491.64, -1568.56, -1568.56
-183.95, 772.58, 1361.21, 1361.21
859.53, 478.26, 1816.05, 1816.05
110.37, -505.02, -899.67, -899.67
505.02, 879.6, 2264.2200000000003, 2264.2200000000003
-859.53, 939.8, 1020.0699999999999, 1020.0699999999999
826.09, 397.99, 1622.0700000000002, 1622.0700000000002
-612.04, 117.06, -377.91999999999996, -377.91999999999996
799.33, 558.53, 1916.3899999999999, 1916.3899999999999
-665.55, -277.59, -1220.73, -1220.73
-946.49, -618.73, -2183.95, -2183.95
973.24, -391.3, 190.64, 190.64
-270.9, -979.93, -2230.7599999999998, -2230.7599999999998
-117.06, 204.01, 290.96, 290.96
511.71, 143.81, 799.3299999999999, 799.3299999999999
-324.41, 779.26, 1234.11, 1234.11
-605.35, -585.28, -1775.9099999999999, -1775.9099999999999
364.55, 337.79, 1040.13, 1040.13
230.77, -565.22, -899.6700000000001, -899.6700000000001
-959.87, -826.09, -2612.05, -2612.05
-892.98, -190.64, -1274.26, -1274.26
163.88, 926.42, 2016.7199999999998, 2016.7199999999998
-56.86, 591.97, 1127.0800000000002, 1127.0800000000002
-364.55, -464.88, -1294.31, -1294.31
745.82, 284.28, 1314.38, 1314.38
-391.3, 739.13, 1086.96, 1086.96
966.56, 973.24, 2913.04, 2913.04
-297.66, 70.23, -157.20000000000002, -157.20000000000002
458.19, 692.31, 1842.81, 1842.81
-819.4, -879.6, -2578.6, -2578.6
137.12, 364.55, 866.22, 866.22
-531.77, -792.64, -2117.05, -2117.05
-458.19, -364.55, -1187.29, -1187.29
-471.57, 578.6, 685.6300000000001, 685.6300000000001
-384.62, 270.9, 157.17999999999995, 157.17999999999995
444.82, -237.46, -30.100000000000023, -30.100000000000023
632.11, -197.32, 237.47000000000003, 237.47000000000003
150.5, 56.86, 264.22, 264.22
-953.18, -658.86, -2270.9, -2270.9
779.26, -892.98, -1006.7, -1006.7
-699.0, 518.39, 337.78, 337.78
913.04, 752.51, 2418.06, 2418.06
-177.26, -806.02, -1789.3, -1789.3
197.32, -344.48, -491.64000000000004, -491.64000000000004
-170.57, 297.66, 424.75000000000006, 424.75000000000006
645.48, -304.35, 36.77999999999997, 36.77999999999997
-705.69, -779.26, -2264.21, -2264.21
-939.8, -632.11, -2204.02, -2204.02
-658.86, 966.56, 1274.2599999999998, 1274.2599999999998
16.72, 170.57, 357.86, 357.86
451.51, -431.44, -411.37, -411.37
-217.39, 652.17, 1086.9499999999998, 1086.9499999999998
-76.92, -117.06, -311.04, -311.04
-438.13, -96.99, -632.11, -632.11
-973.24, -939.8, -2852.84, -2852.84
-993.31, 418.06, -157.18999999999994, -157.18999999999994
3.34, -123.75, -244.16, -244.16
183.95, 792.64, 1769.23, 1769.23
772.58, -598.66, -424.7399999999999, -424.7399999999999
-143.81, -451.51, -1046.83, -1046.83
598.66, 311.04, 1220.74, 1220.74
-397.99, -712.37, -1822.73, -1822.73
-210.7, 177.26, 143.82, 143.82
-337.79, 859.53, 1381.27, 1381.27
-357.86, 384.62, 411.38, 411.38
-197.32, -170.57, -538.46, -538.46
-110.37, -946.49, -2003.35, -2003.35
-571.91, -224.08, -1020.0699999999999, -1020.0699999999999
-304.35, -30.1, -364.55, -364.55
-759.2, 424.75, 90.29999999999995, 90.29999999999995
397.99, 705.69, 1809.3700000000001, 1809.3700000000001
-137.12, -739.13, -1615.38, -1615.38
-578.6, 986.62, 1394.6399999999999, 1394.6399999999999
-846.15, -217.39, -1280.9299999999998, -1280.9299999999998
-16.72, 919.73, 1822.74, 1822.74
130.43, 96.99, 324.40999999999997, 324.40999999999997
-772.58, 210.7, -351.18000000000006, -351.18000000000006
685.62, 23.41, 732.44, 732.44
-792.64, -551.84, -1896.3200000000002, -1896.3200000000002
-551.84, -284.28, -1120.4, -1120.4
-886.29, 230.77, -424.74999999999994, -424.74999999999994
-404.68, -973.24, -2351.16, -2351.16
899.67, -919.73, -939.7900000000001, -939.7900000000001
-625.42, 765.89, 906.36, 906.36
-277.59, 571.91, 866.23, 866.23
177.26, 264.21, 705.68, 705.68
-732.44, 484.95, 237.45999999999992, 237.45999999999992
812.71, 123.75, 1060.21, 1060.21
658.86, -377.93, -97.0, -97.0
792.64, 157.19, 1107.02, 1107.02
-632.11, 545.15, 458.18999999999994, 458.18999999999994
-685.62, 304.35, -76.91999999999996, -76.91999999999996
852.84, -444.82, -36.799999999999955, -36.799999999999955
411.37, 826.09, 2063.55, 2063.55
-826.09, -3.34, -832.77, -832.77
-618.73, 598.66, 578.5899999999999, 578.5899999999999
304.35, -645.48, -986.61, -986.61
-83.61, -578.6, -1240.81, -1240.81
-919.73, 585.28, 250.82999999999993, 250.82999999999993
317.73, 1000.0, 2317.73, 2317.73
190.64, -953.18, -1715.7199999999998, -1715.7199999999998
-257.53, -498.33, -1254.19, -1254.19
-812.71, -672.24, -2157.19, -2157.19
879.6, 277.59, 1434.78, 1434.78
-806.02, -83.61, -973.24, -973.24
886.29, -538.46, -190.6300000000001, -190.6300000000001
56.86, 351.17, 759.2, 759.2
846.15, 217.39, 1280.9299999999998, 1280.9299999999998
-150.5, -511.71, -1173.92, -1173.92
-799.33, -652.17, -2103.67, -2103.67
424.75, 290.97, 1006.69, 1006.69
-933.11, -785.95, -2505.01, -2505.01
-63.55, 371.24, 678.9300000000001, 678.9300000000001
491.64, 678.93, 1849.5, 1849.5
-785.95, -371.24, -1528.43, -1528.43
-30.1, -846.15, -1722.3999999999999, -1722.3999999999999
558.53, -933.11, -1307.69, -1307.69
518.39, 712.37, 1943.13, 1943.13
-418.06, 344.48, 270.90000000000003, 270.90000000000003
926.42, 83.61, 1093.6399999999999, 1093.6399999999999
-431.44, -993.31, -2418.06, -2418.06
43.48, -986.62, -1929.76, -1929.76
-986.62, 43.48, -899.66, -899.66
785.95, -137.12, 511.71000000000004, 511.71000000000004
-765.89, -872.91, -2511.71, -2511.71
-411.37, -130.43, -672.23, -672.23
538.46, 605.35, 1749.16, 1749.16
959.87, 886.29, 2732.45, 2732.45
-264.21, 645.48, 1026.75, 1026.75
752.51, 551.84, 1856.19, 1856.19
866.22, -558.53, -250.83999999999992, -250.83999999999992
-832.78, 632.11, 431.44000000000005, 431.44000000000005
324.41, -966.56, -1608.7099999999998, -1608.7099999999998
832.78, -612.04, -391.29999999999995, -391.29999999999995
264.21, -745.82, -1227.43, -1227.43
759.2, 799.33, 2357.86, 2357.86
-377.93, 618.73, 859.53, 859.53
143.81, 725.75, 1595.31, 1595.31
-545.15, 672.24, 799.33, 799.33
-444.82, -351.17, -1147.16, -1147.16
986.62, -899.67, -812.7199999999999, -812.7199999999999
-331.1, 819.4, 1307.6999999999998, 1307.6999999999998
-913.04, -76.92, -1066.8799999999999, -1066.8799999999999
70.23, 745.82, 1561.8700000000001, 1561.8700000000001
-866.22, 719.06, 571.8999999999999, 571.8999999999999
565.22, -63.55, 438.12, 438.12
311.04, -157.19, -3.339999999999975, -3.339999999999975
625.42, -143.81, 337.79999999999995, 337.79999999999995
-745.82, 183.95, -377.9200000000001, -377.9200000000001
351.17, -397.99, -444.81, -444.81
692.31, -103.68, 484.94999999999993, 484.94999999999993
391.3, 658.86, 1709.02, 1709.02
498.33, -752.51, -1006.69, -1006.69
-317.73, -290.97, -899.6700000000001, -899.6700000000001
-224.08, 250.84, 277.6, 277.6
712.37, -70.23, 571.91, 571.91
-511.71, 665.55, 819.3899999999999, 819.3899999999999
