x1, x2, Expected Value, Function Value

47.47, 35.35, 7041.1444, 1690.8916110134585
17.17, 24.24, 1374.7313, 363.85748524214927
30.3, 56.57, 5665.313000000001, 1553.077509379245
27.27, 7.07, 1273.5595999999998, 266.0240850224307
56.57, 52.53, 11748.321200000002, 2935.151137004486
3.03, 79.8, 176.96289999999988, -143.167453176832
28.28, 66.67, 5990.3512, 1666.1569983657864
31.31, 75.76, 7567.1329000000005, 2119.596442859057
100.0, 50.51, 24800.43, 5197.213203304955
90.91, 83.84, 30544.4313, 7566.157714757851
64.65, 53.54, 14189.9255, 3451.9833517623374
9.09, 54.55, 1189.3565999999998, 260.6055836079356
22.22, 45.45, 3206.2754, 872.1095372242046
51.52, 65.66, 12344.099999999999, 3260.9365704842985
93.94, 77.78, 30201.2232, 7293.109348017944
44.44, 72.73, 11163.1672, 3046.938190877002
73.74, 31.31, 12145.815799999998, 2446.1490386386995
75.76, 11.11, 8187.8884, 1087.5679421633738
67.68, 87.88, 21809.5776, 5779.54321497757
69.7, 30.3, 10982.72, 2238.2253608853352
11.11, 59.6, 1693.7000999999998, 409.8078058545709
34.34, 23.23, 3410.7802000000006, 818.650551762337
16.16, 41.41, 1979.8324000000002, 527.4066187219615
65.66, 78.79, 19280.7598, 5042.369529735421
0.0, 40.4, -281.8, -200.99037004486144
26.26, 20.2, 2140.5436, 534.3405555067292
97.98, 89.9, 35396.9864, 8750.620074008973
98.99, 27.27, 17707.502, 2957.274956921224
8.08, 82.83, 1494.2756000000004, 289.30446532541106
53.54, 61.62, 12333.596, 3205.396725991028
88.89, 5.05, 9213.7656, 777.1092679346827
52.53, 57.58, 11431.3731, 2947.0236037443924
57.58, 2.02, 3651.2512, 335.14310890327977
54.55, 94.95, 17850.62, 4923.982129955139
1.01, 67.68, -266.66949999999997, -264.3370606656166
45.45, 93.94, 14217.8415, 3982.8848058545714
81.82, 100.0, 30541.512399999996, 8009.7343334798115
59.6, 74.75, 16395.210000000003, 4320.128611233177
79.8, 28.28, 12941.312000000002, 2433.2564718987937
18.18, 21.21, 1339.8358, 352.3435222466354
60.61, 18.18, 6852.9815, 1252.3694386386996
85.86, 95.96, 31418.596399999995, 8103.018007488784
61.62, 73.74, 16913.420799999996, 4421.941688986541
42.42, 46.46, 7387.736, 1908.314162995514
83.84, 98.99, 31235.180399999997, 8140.110211233177
13.13, 48.48, 1743.6641000000002, 447.5458262107463
35.35, 38.38, 5052.161500000001, 1306.3087222466354
15.15, 39.39, 1745.0680000000002, 461.01427797308315
10.1, 55.56, 1397.5579999999998, 324.8920836079356
86.87, 10.1, 10108.857899999999, 1172.4484531768321
7.07, 84.85, 1256.7033999999999, 205.86328757204646
40.4, 92.93, 12245.766, 3452.6347688500855
4.04, 49.49, 270.7104000000001, -30.214566300469123
24.24, 4.04, 854.0863999999999, 174.1847850224307
95.96, 1.01, 9493.0104, 473.3367196970196
5.05, 90.91, 767.419, 26.89121356307416
25.25, 19.19, 1957.875, 489.44605550672924
76.77, 32.32, 13112.0121, 2625.5755571409427
50.51, 70.71, 12771.9764, 3420.556914977569
72.73, 8.08, 6997.0681, 836.5627421633736
62.63, 33.33, 9952.580600000001, 2170.5956683741197
23.23, 37.37, 2883.3581999999997, 774.5284704842985
87.88, 22.22, 13426.435199999998, 2191.472701414495
48.48, 68.69, 11860.753999999999, 3181.066264885974
89.9, 15.15, 12062.915000000003, 1643.966934674589
19.19, 80.81, 4455.817800000001, 1224.9938355899912
36.36, 62.63, 7716.320000000001, 2110.1733093792445
32.32, 42.42, 4861.685600000001, 1288.4468074887845
82.83, 96.97, 30279.0942, 7878.848470484298
38.38, 58.59, 7809.947000000001, 2109.759264885974
80.81, 16.16, 10335.8049, 1546.7139421633735
63.64, 12.12, 6280.16, 963.9892718987935
78.79, 51.52, 18026.006500000003, 4116.139299780281
12.12, 69.7, 2194.2864, 546.1829725944772
41.41, 85.86, 11781.155899999998, 3292.913442859057
55.56, 64.65, 13411.225600000002, 3491.1711667399068
94.95, 26.26, 16312.843500000003, 2740.1703791678597
96.97, 17.17, 14278.915599999998, 1965.0106309301966
33.33, 0.0, 1111.8889, 132.48705528701066
58.59, 44.44, 10933.9269, 2615.5459796072964
70.71, 36.36, 12459.4309, 2671.197164629727
91.92, 60.61, 24739.829999999998, 5635.118736784768
14.14, 71.72, 2741.262, 713.5197725944772
39.39, 47.47, 6829.812, 1790.2552259910276
71.72, 34.34, 12292.972800000001, 2577.110642383092
29.29, 3.03, 1103.9402, 190.1024405291599
66.67, 76.77, 19263.2666, 5001.338307488784
92.93, 88.89, 32796.398, 8187.716737004487
21.21, 97.98, 5999.471500000001, 1675.014346823168
49.49, 86.87, 14739.759000000002, 4063.7404576169083
77.78, 43.43, 15880.6746, 3471.0969646297276
20.2, 13.13, 1112.8079999999998, 280.19931475785074
74.75, 81.82, 23363.957499999997, 6006.1216852421485
2.02, 63.64, -54.74119999999999, -180.02726441000897
46.46, 91.92, 14327.9012, 3997.979283607936
37.37, 25.25, 4051.5443999999998, 966.5196110134584
6.06, 14.14, 195.80879999999996, 39.43032599102771
43.43, 6.06, 2634.3023, 405.6718922914968
84.85, 9.09, 9450.752, 1063.3431939257105
68.69, 29.29, 10550.0764, 2139.255460885335
