x1, x2, Expected Value, Function Value

0.82, -0.74, 5.032, 6.186693720047967
0.7, 0.86, -2.724, -5.373112970921522
0.98, 0.29, 0.7829999999999999, -0.8678523788405419
-0.6, 0.84, -6.032, -5.644724936943906
0.05, 0.21, -0.43599999999999994, -0.2414307717888562
0.03, -0.94, 7.4963, 7.4755698453685016
0.33, 0.15, 0.20740000000000003, 0.19464175662998717
-0.96, -0.8, 9.825600000000001, 6.581260967274237
-0.17, 0.7, -4.2280999999999995, -4.241521415137167
0.62, -0.41, 3.4917999999999996, 4.020382857825238
-0.09, -0.03, 1.2262, 1.475439790330067
-0.31, 0.23, -0.7278, -0.40365455679411455
-0.72, 0.88, -6.542400000000001, -6.030540327443528
-0.39, -0.01, 1.2338, 1.3355501611753058
0.88, -0.98, 6.047199999999999, 7.730586929323752
0.64, 0.98, -3.5687999999999995, -6.36086779178944
0.37, 0.82, -3.6929, -4.994930288777355
0.47, 0.09, 0.7178, 0.6265712411787934
-0.47, 0.9, -6.3481, -6.159827661559614
-0.76, 0.6, -3.9904, -3.493309418953883
-0.78, -0.92, 10.2012, 7.3480726230966065
0.25, -0.29, 2.875, 3.23886792106347
0.94, 0.07, 1.591, 0.7691336392646204
-0.43, 0.62, -3.9549000000000003, -3.6274793820652285
-0.27, 0.64, -3.9255000000000004, -3.7569956754784304
-0.92, 0.76, -5.571200000000001, -4.936868408048418
0.43, 0.17, 0.21419999999999983, 0.0479861540222466
-0.9, -0.39, 5.593, 3.917149916389443
-0.21, 0.8, -5.059900000000001, -5.143618558020462
0.92, 0.05, 1.6344, 0.9120836026267863
0.54, -0.43, 3.605, 4.154579963113052
-0.88, 0.96, -7.48, -6.7865723555587625
0.21, 0.33, -1.0579999999999998, -1.1298737504142056
-0.11, -0.27, 2.9912, 3.116231799612236
-0.37, -0.66, 6.4895, 5.6831408521982905
-0.35, 0.68, -4.351500000000001, -4.136269151136922
-0.68, -0.47, 5.7112, 4.448519985627322
0.8, 0.31, 0.2140000000000004, -1.0098095934924827
0.01, -0.82, 6.7155, 6.708980436847759
-0.01, -0.78, 6.4835, 6.4524687568974315
-0.98, 0.74, -5.395199999999999, -4.755086268989711
0.31, -0.11, 1.7638, 2.0264515583372527
-0.84, 0.94, -7.2432, -6.5978441158386385
0.17, 0.92, -4.9419, -5.926942626784879
-1.0, -0.19, 3.9000000000000004, 2.576518449433052
0.68, 0.27, 0.12319999999999998, -0.6994052188148647
-0.49, -0.88, 8.6937, 7.092959013320176
-0.7, -0.9, 9.68, 7.220531877759172
0.23, 0.25, -0.5246, -0.5345247637332888
0.41, -0.33, 3.0722, 3.4989501093677404
-0.74, 0.78, -5.644, -5.112130827408011
-0.64, 0.19, -0.2852000000000001, -0.11582789415398365
-0.13, 0.13, 0.05620000000000003, 0.3391106507931334
0.58, -0.37, 3.2826, 3.7578834769159863
-0.54, -0.05, 1.7226000000000001, 1.6156911354080812
0.6, 0.47, -1.084, -2.211933216318035
-0.86, 0.54, -3.4336, -2.972716171779073
-0.66, -0.17, 2.9622, 2.443522373528277
0.07, -0.6, 5.0789, 5.286705394019569
0.29, 0.43, -1.5518, -1.886777376774672
-0.03, 0.58, -3.1113, -3.1525690122825525
-0.23, 0.66, -4.0225, -3.9171566899696293
-0.94, -0.25, 4.3386, 2.982528787833818
1.0, -0.45, 3.8, 4.276942741718374
0.56, 0.39, -0.7611999999999999, -1.594708327654099
0.78, -0.35, 3.2394, 3.6214471777864734
-0.41, -0.62, 6.2707, 5.4251594628596544
0.86, 0.49, -0.4261999999999997, -2.4203187109514164
0.72, -0.31, 3.0187999999999997, 3.358804691407045
-0.45, -0.09, 1.954, 1.89356904893635
0.96, -0.84, 5.3824, 6.834821113148257
0.74, -0.68, 4.798000000000001, 5.794935011612467
-0.82, -0.49, 6.307799999999999, 4.577247261149065
-0.8, 0.52, -3.248, -2.798031261404231
-0.25, 0.11, 0.20999999999999996, 0.48230295721106897
-0.29, -0.86, 7.8523, 6.965262201385438
0.45, -0.58, 4.4795, 5.144562034073129
0.13, -0.13, 1.8762, 2.164877818178856
0.9, -0.56, 4.218, 5.0030921585016666
0.39, -0.21, 2.3764000000000003, 2.701333439500994
0.66, 0.72, -2.1788, -4.201536760360858
-0.58, 0.45, -2.5966, -2.1870725506277964
0.19, 0.01, 0.9718, 1.1949561382816651
0.49, 0.03, 1.0742, 1.0540387885093783
0.84, 0.41, -0.13119999999999976, -1.786102733760904
-0.15, -0.64, 5.790500000000001, 5.551376197560064
-0.19, 0.56, -3.2031, -3.039663160104385
-0.62, -0.54, 6.1688, 4.9064285705885915
-0.52, -0.76, 7.776, 6.32604665140717
-0.56, -0.07, 1.9212000000000002, 1.7549369432646054
0.35, 0.37, -1.0789999999999997, -1.4303629008750907
-0.33, 0.35, -1.6875999999999998, -1.3370354102450097
0.76, -0.96, 6.1088, 7.603086408511953
0.09, 1.0, -5.7219, -6.670053331243283
0.15, -1.0, 7.5725, 7.85810542353408
0.52, -0.72, 5.1872, 6.059189313983056
-0.05, -0.7, 6.007499999999999, 5.937696597518176
-0.07, -0.23, 2.6632, 2.8463912585805655
0.11, -0.52, 4.4805, 4.762605795414414
0.27, -0.15, 2.0014000000000003, 2.2991284241809233
