Generation, Best Fitness, Average Fitness, Crossover Rate, Mutation Rate, Stagnation Count
0, -200.00, -7413.73, 0.80, 0.20, 0
1, -200.00, -6540.23, 0.80, 0.20, 1
2, -200.00, -5418.12, 0.80, 0.20, 2
3, -200.00, -3935.40, 0.80, 0.20, 3
4, -200.00, -1962.60, 0.80, 0.20, 4
5, -200.00, -2230.07, 0.80, 0.20, 5
6, -200.00, -2119.85, 0.80, 0.20, 6
7, -200.00, -2343.88, 0.80, 0.20, 7
8, -200.00, -1876.95, 0.80, 0.20, 8
9, -200.00, -2090.90, 0.80, 0.20, 9
10, -200.00, -2114.55, 0.50, 0.50, 10
11, -200.00, -2173.18, 0.50, 0.50, 11
12, -200.00, -2120.75, 0.50, 0.50, 12
13, -200.00, -2332.50, 0.50, 0.50, 13
14, -200.00, -2329.55, 0.50, 0.50, 14
15, -200.00, -2528.97, 0.50, 0.50, 15
16, -200.00, -1932.42, 0.50, 0.50, 16
17, -200.00, -2445.65, 0.50, 0.50, 17
18, -200.00, -2008.33, 0.50, 0.50, 18
19, -200.00, -2039.30, 0.50, 0.50, 19
20, -200.00, -2125.82, 0.50, 0.50, 20
21, -200.00, -2075.65, 0.50, 0.50, 21
22, -200.00, -2215.03, 0.50, 0.50, 22
23, -200.00, -2250.25, 0.50, 0.50, 23
24, -200.00, -2028.33, 0.50, 0.50, 24
25, -200.00, -2034.95, 0.50, 0.50, 25
26, -200.00, -1862.40, 0.50, 0.50, 26
27, -200.00, -2228.00, 0.50, 0.50, 27
28, -200.00, -1897.58, 0.50, 0.50, 28
29, -200.00, -1849.67, 0.50, 0.50, 29
30, -200.00, -1827.28, 0.50, 0.50, 30
31, -200.00, -1788.20, 0.50, 0.50, 31
32, -200.00, -1656.70, 0.50, 0.50, 32
33, -200.00, -1682.80, 0.50, 0.50, 33
34, -200.00, -1700.62, 0.50, 0.50, 34
35, -200.00, -1676.40, 0.50, 0.50, 35
36, -200.00, -1859.45, 0.50, 0.50, 36
37, -200.00, -1709.28, 0.50, 0.50, 37
38, -200.00, -1611.25, 0.50, 0.50, 38
39, -200.00, -1560.67, 0.50, 0.50, 39
40, -200.00, -1415.70, 0.50, 0.50, 40
41, -200.00, -1659.03, 0.50, 0.50, 41
42, -200.00, -1460.08, 0.50, 0.50, 42
43, -200.00, -1627.88, 0.50, 0.50, 43
44, -200.00, -1439.70, 0.50, 0.50, 44
45, -200.00, -1556.92, 0.50, 0.50, 45
46, -200.00, -1672.42, 0.50, 0.50, 46
47, -200.00, -1590.78, 0.50, 0.50, 47
48, -200.00, -1545.58, 0.50, 0.50, 48
49, -200.00, -1722.38, 0.50, 0.50, 49
50, -200.00, -1521.25, 0.50, 0.50, 50
51, -200.00, -1738.83, 0.50, 0.50, 51
52, -200.00, -1447.42, 0.50, 0.50, 52
53, -200.00, -1793.10, 0.50, 0.50, 53
54, -200.00, -1640.78, 0.50, 0.50, 54
55, -200.00, -1272.65, 0.50, 0.50, 55
56, -200.00, -1253.83, 0.50, 0.50, 56
57, -200.00, -1254.25, 0.50, 0.50, 57
58, -200.00, -1088.30, 0.50, 0.50, 58
59, -200.00, -1012.10, 0.50, 0.50, 59
60, -200.00, -1089.03, 0.50, 0.50, 60
61, -200.00, -1193.05, 0.50, 0.50, 61
62, -200.00, -1332.05, 0.50, 0.50, 62
63, -200.00, -1413.47, 0.50, 0.50, 63
64, -200.00, -1177.67, 0.50, 0.50, 64
65, -200.00, -1115.80, 0.50, 0.50, 65
66, -200.00, -956.83, 0.50, 0.50, 66
67, -200.00, -1282.03, 0.50, 0.50, 67
68, -200.00, -1111.03, 0.50, 0.50, 68
69, -200.00, -1229.35, 0.50, 0.50, 69
70, -200.00, -942.30, 0.50, 0.50, 70
71, -200.00, -1053.90, 0.50, 0.50, 71
72, -200.00, -1156.55, 0.50, 0.50, 72
73, -200.00, -1056.72, 0.50, 0.50, 73
74, -200.00, -1016.10, 0.50, 0.50, 74
75, -200.00, -1174.47, 0.50, 0.50, 75
76, -200.00, -932.58, 0.50, 0.50, 76
77, -200.00, -917.40, 0.50, 0.50, 77
78, -200.00, -947.90, 0.50, 0.50, 78
79, -200.00, -943.55, 0.50, 0.50, 79
80, -200.00, -998.05, 0.50, 0.50, 80
81, -200.00, -1195.47, 0.50, 0.50, 81
82, -200.00, -1026.55, 0.50, 0.50, 82
83, -200.00, -916.58, 0.50, 0.50, 83
84, -200.00, -990.02, 0.50, 0.50, 84
85, -200.00, -705.10, 0.50, 0.50, 85
86, -200.00, -690.25, 0.50, 0.50, 86
87, -200.00, -932.00, 0.50, 0.50, 87
88, -200.00, -797.35, 0.50, 0.50, 88
89, -200.00, -760.50, 0.50, 0.50, 89
90, -200.00, -861.45, 0.50, 0.50, 90
91, -200.00, -1023.12, 0.50, 0.50, 91
