Generation, Best Fitness, Average Fitness, Crossover Rate, Mutation Rate, Stagnation Count
0, -20.00, -3895.54, 0.80, 0.20, 0
1, -20.00, -3671.24, 0.80, 0.20, 1
2, -20.00, -2451.29, 0.80, 0.20, 2
3, -20.00, -829.09, 0.80, 0.20, 3
4, -20.00, -720.48, 0.80, 0.20, 4
5, -20.00, -731.40, 0.80, 0.20, 5
6, -20.00, -781.15, 0.80, 0.20, 6
7, -20.00, -857.78, 0.80, 0.20, 7
8, -20.00, -938.88, 0.80, 0.20, 8
9, -20.00, -875.20, 0.80, 0.20, 9
10, -20.00, -995.59, 0.50, 0.50, 10
11, -20.00, -1015.50, 0.50, 0.50, 11
12, -20.00, -1075.18, 0.50, 0.50, 12
13, -20.00, -1095.08, 0.50, 0.50, 13
14, -20.00, -1228.91, 0.50, 0.50, 14
15, -20.00, -1075.19, 0.50, 0.50, 15
16, -20.00, -1230.89, 0.50, 0.50, 16
17, -20.00, -1102.06, 0.50, 0.50, 17
18, -20.00, -1063.75, 0.50, 0.50, 18
19, -20.00, -1145.82, 0.50, 0.50, 19
20, -20.00, -1052.81, 0.50, 0.50, 20
21, -20.00, -1096.08, 0.50, 0.50, 21
22, -20.00, -1100.55, 0.50, 0.50, 22
23, -20.00, -1040.36, 0.50, 0.50, 23
24, -20.00, -992.60, 0.50, 0.50, 24
25, -20.00, -1130.42, 0.50, 0.50, 25
26, -20.00, -1216.97, 0.50, 0.50, 26
27, -20.00, -1074.68, 0.50, 0.50, 27
28, -20.00, -1021.97, 0.50, 0.50, 28
29, -20.00, -1115.48, 0.50, 0.50, 29
30, -20.00, -1034.40, 0.50, 0.50, 30
31, -20.00, -1083.63, 0.50, 0.50, 31
32, -20.00, -1168.71, 0.50, 0.50, 32
33, -20.00, -1094.59, 0.50, 0.50, 33
34, -20.00, -1145.34, 0.50, 0.50, 34
35, -20.00, -1023.44, 0.50, 0.50, 35
36, -20.00, -1162.25, 0.50, 0.50, 36
37, -20.00, -1135.37, 0.50, 0.50, 37
38, -20.00, -1123.46, 0.50, 0.50, 38
39, -20.00, -1020.47, 0.50, 0.50, 39
40, -20.00, -1043.85, 0.50, 0.50, 40
41, -20.00, -904.05, 0.50, 0.50, 41
42, -20.00, -1000.57, 0.50, 0.50, 42
43, -20.00, -1026.94, 0.50, 0.50, 43
44, -20.00, -1014.49, 0.50, 0.50, 44
