Generation, Best Fitness, Average Fitness, Crossover Rate, Mutation Rate, Stagnation Count
22, -10.00, -1138.04, 0.70, 0.30, 0
23, -10.00, -1071.79, 0.70, 0.30, 1
24, -10.00, -1571.26, 0.70, 0.30, 2
25, -10.00, -1050.01, 0.70, 0.30, 3
26, -10.00, -1325.96, 0.70, 0.30, 4
27, -10.00, -1016.57, 0.70, 0.30, 5
28, -10.00, -1223.79, 0.70, 0.30, 6
29, -10.00, -891.49, 0.70, 0.30, 7
30, -10.00, -1409.70, 0.70, 0.30, 8
31, -10.00, -1040.16, 0.70, 0.30, 9
32, -10.00, -1207.71, 0.30, 0.70, 10
33, -10.00, -850.73, 0.30, 0.70, 11
34, -10.00, -1171.15, 0.30, 0.70, 12
35, -10.00, -907.51, 0.30, 0.70, 13
36, -10.00, -1393.33, 0.30, 0.70, 14
37, -10.00, -894.88, 0.30, 0.70, 15
38, -10.00, -1292.83, 0.30, 0.70, 16
39, -10.00, -931.28, 0.30, 0.70, 17
40, -10.00, -1381.76, 0.30, 0.70, 18
41, -10.00, -964.12, 0.30, 0.70, 19
42, -10.00, -1146.34, 0.30, 0.70, 20
43, -10.00, -825.98, 0.30, 0.70, 21
44, -10.00, -978.09, 0.30, 0.70, 22
45, -10.00, -750.12, 0.30, 0.70, 23
46, -10.00, -1253.73, 0.30, 0.70, 24
47, -10.00, -816.38, 0.30, 0.70, 25
48, -10.00, -1016.88, 0.30, 0.70, 26
49, -10.00, -693.27, 0.30, 0.70, 27
50, -10.00, -990.46, 0.30, 0.70, 28
51, -10.00, -745.75, 0.30, 0.70, 29
52, -10.00, -859.24, 0.30, 0.70, 30
53, -10.00, -689.70, 0.30, 0.70, 31
54, -10.00, -905.48, 0.30, 0.70, 32
55, -10.00, -738.96, 0.30, 0.70, 33
56, -10.00, -965.99, 0.30, 0.70, 34
57, -10.00, -719.40, 0.30, 0.70, 35
58, -10.00, -954.98, 0.30, 0.70, 36
59, -10.00, -679.78, 0.30, 0.70, 37
60, -10.00, -959.91, 0.30, 0.70, 38
61, -10.00, -614.64, 0.30, 0.70, 39
62, -10.00, -1196.83, 0.30, 0.70, 40
63, -10.00, -850.68, 0.30, 0.70, 41
64, -10.00, -1251.84, 0.30, 0.70, 42
65, -10.00, -947.66, 0.30, 0.70, 43
66, -10.00, -1367.62, 0.30, 0.70, 44
67, -10.00, -891.76, 0.30, 0.70, 45
68, -10.00, -1291.56, 0.30, 0.70, 46
69, -10.00, -822.83, 0.30, 0.70, 47
